ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
1,"5278200826","0000","KENT FALL","MISC","1","12.50","0.000","18.99","1","12.500","0.000","18.99","Tax","MISC","MISC","UNKNOWN","0.00",0,"34.18",1,1,"D",0,"general",0,"00000",1,,,,,0,0,"Gift Item",,"4PK",0,0,0,0,,,0,0
6,"2105904750","721059047500","CAMPARI MILANO BITTER LIQUEUR 750ML","750ML","1","26.41","26.410","35.99","1","26.410","26.410","35.99","Tax","LIQUEUR","LIQUOR","BRESCOME","6.00",6,"26.62",12,2,"B",0,"general","35866","36128",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
7,"5774400132","857744001325","JOSH CHARDONNAY  750ML","750ML","1","9.62","9.790","12.99","1","9.620","9.790","12.99","Tax","US WINE","WINE","BRESCOME","13.00",13,"25.94",36,28,"A",0,"general","10994","98373",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
8,"s8549811112","0000","WICKED STRAW. BLAND 12OZ BTL.","12OZ","1","1.18","0.000","1.51","1","1.180","0.000","1.51","NoTax","BEER","BEER","G & G BEVERAGE DIST","0.00",0,"21.85",24,1,"D",0,"general",0,"22611",24,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
9,"8700050785","0000","PARROT BAY 6 PACK","6PK","1","6.18","0.000","7.99","1","6.180","0.000","7.99","Tax","BEER","BEER","STAR","0.00",0,"22.65",4,1,"D",0,"general",0,"69197",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
11,"9530113028","0000","ROGUE YELLOW SNOW 22OZ","22OZ","1","5.50","0.000","7.99","1","5.500","0.000","7.99","Tax","BEER","BEER","NULL","0.00",0,"31.16",12,1,"D",0,"general",0,"05587",12,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
12,"7289000621","072890006219","HEINEKEN 0.0% NON ALC BEER 6PK BOTTLE 12 OZ","12OZ","1","9.47","9.470","11.99","1","9.470","9.470","11.99","Tax","NON-ALC",,"HDI","5.00",5,"21.02",8,7,"B",0,"general","4517","73382",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
14,"8088749396","080887493966","BOGLE CABERNET SAUVIGNON 750ML","750ML","1","7.00","7.000","10.99","1","7.000","7.000","10.99","Tax","US WINE","WINE","CDI","28.00",28,"36.31",1,1,"C",0,"general","2331445","31281",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
16,"9674900369","096749003693","FULTON'S HARVEST PUMPKIN PIE CREAM LIQUEUR 750ML","750ML","1","7.91","0.000","11.99","1","7.910","0.000","11.99","Tax","CORDIALS & LIQUEURS","LIQUOR","HP","7.00",7,"34.03",0,0,"D",0,"general","622647","43661",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
18,"1153801121","811538011211","JOSE CUERVO MARGARITA MIX 1L",,"1","4.67","0.000","5.99","1","4.670","0.000","5.99","Tax","LIQUOR","LIQUOR","NULL","0.00",0,"22.04",2,2,"D",0,"general",0,"67919",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
